POINTID,SiteId,Lat,Long,FeatureTyp,Barrier,Reason,FishPass,LngCo,LngSD,LngCH,Lng_25Co,Lng_75Co,Lng_25CH,Lng_75CH,Lng_25SD,Lng_75SD,Lng_50Co,Lng_50CH,Lng_50SD
1421,Co197C1,46.652848,-122.73734,Culvert,Yes, ,0,0,0,0,193.441366,0,0,0,0,0,0,0,0
1370,Co235C2,46.674303,-123.384365,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1464,Co265C3,46.646851,-122.542992,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1305,Co277C2,46.722449,-122.74791,Culvert,Yes, ,0,0,0,0,193.280546,0,0,0,0,0,0,0,0
1309,Co277C3,46.719887,-122.753148,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1364,SD037C2,46.696995,-122.683979,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1423,SD064C2,46.653607,-122.666865,Culvert,Yes, ,67,0,0,0,0,0,0,0,0,0,0,0,0
1186,SD082C1,46.79607,-122.827747,Culvert,Yes, ,67,217.447975,0,0,434.89595,0,0,0,0,0,217.447975,0,0
1411,SD085C3,46.658099,-122.658504,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1365,SD221C1,46.698772,-122.585029,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1401,SD222C2,46.647129,-123.361396,Culvert,Yes, ,0,2937.426686,0,0,3395.656048,1418.901552,0,0,1019.982876,0,2937.426686,0,0
1284,SD233C1,46.738019,-122.702317,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1331,SD275C4,46.694243,-123.331106,Culvert,Yes, ,0,0,0,0,0,0,0,0,0,0,0,0,0
1296,SD299C1,46.7313,-122.6841,Culvert,Yes, ,0,0,0,0,247.671101,0,0,0,0,0,0,0,0
1622,021(22601)(00748),46.589344,-123.0089035,Culvert,Yes,Slope,67,0,0,0,232.095647,0,0,0,0,0,0,0,0
1615,021(22601)(02557),46.5908356,-123.0460358,Culvert,Yes,Slope,0,0,0,0,0,0,0,0,0,0,0,0,0
1643,021(22770)(00585),46.581562,-123.050148,Culvert,Yes,Slope,0,0,0,0,243.914948,0,0,0,0,0,0,0,0
1572,021(22850)(01395),46.6011124,-123.03405,Culvert,Yes,Slope,67,0,0,0,814.188196,0,0,0,0,0,0,0,0
1648,021(22850)(02861),46.5799408,-123.0339813,Culvert,Yes,Slope,67,3874.905648,719.748427,0,7203.87344,0,0,0,2703.704621,0,3368.881621,0,719.748427
1659,021(22901)(00022),46.5771065,-123.033638,Culvert,Yes,Slope,0,616.262262,0,0,2434.453269,0,0,0,828.954152,0,616.262262,0,0
1605,021(23650)(02800),46.5930595,-123.1051025,Culvert,Yes,Slope,67,970.798341,0,0,1149.161162,0,0,0,250.058785,0,970.798341,0,0
1614,021(23650)(03116),46.5894775,-123.1092377,Culvert,Yes,Slope,67,1561.793712,0,0,1740.156533,0,0,0,841.054156,0,1561.793712,0,0
1768,021(24017)(08876),46.5373802,-123.0702362,Culvert,Yes,Depth,0,3630.322553,1602.721487,0,5934.119549,1852.945181,0,0,1852.945181,746.951144,3457.021892,0,1602.721487
1722,021(24017)(10900),46.5601692,-123.0895157,Culvert,Yes,WS Drop,33,621.369051,0,0,1525.711069,0,0,0,0,0,621.369051,0,0
